idIncidente,Proyecto_idProyecto,idTarea,severidad,costo_correccion
1,5,141,Media,1017.83
3,2,161,Alta,1937.81
5,5,96,Baja,1846.36
7,5,51,Crítica,716.47
13,2,68,Crítica,843.17
14,5,142,Crítica,2451.52
15,2,97,Baja,866.29
17,2,82,Media,2019.02
22,5,126,Media,545.68
25,5,54,Media,781.89
28,2,43,Media,1976.93
30,2,153,Media,2247.95
32,5,17,Baja,331.11
33,2,110,Crítica,1325.65
34,5,70,Baja,1637.67
37,5,181,Baja,446.03
38,2,114,Baja,2006.83
39,5,160,Crítica,1318.62
40,2,70,Baja,1064.62
44,2,21,Alta,115.47
45,5,178,Baja,1028.61
46,2,109,Crítica,1076.11
51,5,164,Crítica,1266.83
56,5,28,Media,506.93
57,5,112,Media,1117.09
59,2,142,Baja,192.54
61,5,167,Baja,714.07
71,5,9,Baja,148.16
72,2,30,Baja,1847.75
74,2,190,Baja,1644.39
77,2,59,Baja,1162.79
78,5,63,Alta,1088.25
81,5,141,Alta,1344.71
85,5,34,Crítica,1579.63
88,2,77,Baja,1181.72
89,2,166,Crítica,2023.92
91,5,47,Alta,551.54
95,2,80,Media,1055.27
96,2,165,Baja,356.43
99,2,73,Alta,1763.96
100,5,153,Alta,660.77
103,5,157,Alta,208.77
105,5,101,Media,2088.41
106,2,130,Media,2237.16
109,2,150,Crítica,2388.92
119,2,154,Media,269.13
