idTarea,nombre,EsAutomatizacion,EsReutilizado,Proyecto_idProyecto
9,Tarea_VLKGFZ,0,1,5
17,Tarea_NHOSFU,0,0,5
21,Tarea_ACJHMB,1,0,2
28,Tarea_PILTVL,0,0,5
30,Tarea_GIAZSF,1,1,2
34,Tarea_XDIYOB,1,0,5
43,Tarea_XCVMDU,0,1,2
47,Tarea_NXKRIN,1,1,5
51,Tarea_EWTCRS,1,0,5
54,Tarea_XRUIKP,1,0,5
59,Tarea_ALVCVV,1,0,2
63,Tarea_CGTFLD,0,0,5
68,Tarea_RNCPYA,1,1,2
70,Tarea_NDVBNR,1,0,5
73,Tarea_YKNBMQ,0,1,2
77,Tarea_XXKQUB,0,0,2
80,Tarea_PITCAP,1,1,2
82,Tarea_CQXTMS,1,1,2
96,Tarea_IIKLLU,1,0,5
97,Tarea_HPDSGV,0,0,2
101,Tarea_DHROBC,1,0,5
109,Tarea_FOXUAJ,1,1,2
110,Tarea_VHAZAV,0,1,2
112,Tarea_DHNWFS,0,1,5
114,Tarea_EUVMZH,1,0,2
126,Tarea_YHVJLD,0,0,5
130,Tarea_HHSOXR,0,1,2
141,Tarea_URQKAH,1,0,5
142,Tarea_PXLAEU,0,0,5
150,Tarea_RZRKBZ,0,0,2
153,Tarea_HPOPIS,0,1,2
154,Tarea_UFWETO,1,1,2
157,Tarea_EIANQY,1,0,5
160,Tarea_HKJAWW,0,1,5
161,Tarea_JKZOQC,0,0,2
164,Tarea_FCOKVN,0,1,5
165,Tarea_AAZIZP,0,0,2
166,Tarea_ZACKON,1,1,2
167,Tarea_UKYYDQ,1,0,5
178,Tarea_NWBLUE,1,1,5
181,Tarea_FIWXTX,0,1,5
190,Tarea_CNSGJG,0,0,2
